base_cell,time,outgoing_cell,outgoing_count,outgoing_time,outgoing_speed,NAME
8830e024d3fffff,13:20:00,8830e024dbfffff,15,92.6,22.87,경기 성남시 분당구 서현동
8830e024d3fffff,13:40:00,8830e024dbfffff,11,50.55,13.0,경기 성남시 분당구 서현동
8830e024d3fffff,14:00:00,8830e024dbfffff,11,47.91,23.41,경기 성남시 분당구 서현동
8830e024d3fffff,14:20:00,8830e024dbfffff,17,60.0,17.25,경기 성남시 분당구 서현동
8830e024d3fffff,14:40:00,8830e024dbfffff,15,86.13,22.92,경기 성남시 분당구 서현동
8830e024d3fffff,15:00:00,8830e024dbfffff,10,70.4,25.16,경기 성남시 분당구 서현동
8830e024d3fffff,15:20:00,8830e024dbfffff,14,51.07,16.63,경기 성남시 분당구 서현동
8830e024d3fffff,15:40:00,8830e024dbfffff,11,92.27,10.79,경기 성남시 분당구 서현동
8830e024d3fffff,17:00:00,8830e024dbfffff,10,93.7,18.98,경기 성남시 분당구 서현동
8830e024d3fffff,18:20:00,8830e024dbfffff,11,60.18,28.03,경기 성남시 분당구 서현동
8830e024d3fffff,18:40:00,8830e024dbfffff,11,61.64,24.41,경기 성남시 분당구 서현동
8830e024d5fffff,0:00:00,8830e024dbfffff,15,60.4,14.99,경기 성남시 분당구 서현동
8830e024d7fffff,11:20:00,8830e024dbfffff,14,81.07,21.44,경기 성남시 분당구 서현동
8830e024d7fffff,12:20:00,8830e15361fffff,13,51.46,31.56,경기 성남시 분당구 야탑동
8830e024d7fffff,12:40:00,8830e15361fffff,10,55.5,29.07,경기 성남시 분당구 야탑동
8830e024d7fffff,15:20:00,8830e024dbfffff,10,56.9,21.94,경기 성남시 분당구 서현동
8830e024d7fffff,16:00:00,8830e15361fffff,10,61.8,22.86,경기 성남시 분당구 야탑동
8830e024d7fffff,17:00:00,8830e15361fffff,11,55.91,22.77,경기 성남시 분당구 야탑동
8830e024d7fffff,18:00:00,8830e15361fffff,14,102.64,23.66,경기 성남시 분당구 야탑동
8830e024d9fffff,0:00:00,8830e024dbfffff,40,63.5,21.54,경기 성남시 분당구 서현동
8830e024d9fffff,7:00:00,8830e024dbfffff,13,82.85,15.99,경기 성남시 분당구 서현동
8830e024d9fffff,7:20:00,8830e024dbfffff,16,140.44,44.51,경기 성남시 분당구 서현동
8830e024d9fffff,7:40:00,8830e024dbfffff,12,209.33,45.13,경기 성남시 분당구 서현동
8830e024d9fffff,8:00:00,8830e024dbfffff,13,134.15,29.67,경기 성남시 분당구 서현동
8830e024d9fffff,8:20:00,8830e024dbfffff,13,58.92,24.69,경기 성남시 분당구 서현동
