time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives
07:00 ~ 07:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,91070
07:00 ~ 07:59,1,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,55070,91070
08:00 ~ 08:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,89711
08:00 ~ 08:59,1,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,146777,77711,89711
09:00 ~ 09:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,86189
09:00 ~ 09:59,1,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,146777,74189,86189
10:00 ~ 10:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,92275
10:00 ~ 10:59,1,14,14,14 -> 15 -> 3 -> 13 -> 12 -> 2 -> 8 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,100284,74275,92275
11:00 ~ 11:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,82638
11:00 ~ 11:59,1,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,146777,70638,82638
12:00 ~ 12:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,85255
12:00 ~ 12:59,1,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,147373,73255,85255
13:00 ~ 13:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,84447
13:00 ~ 13:59,1,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,147373,72447,84447
14:00 ~ 14:59,0,14,14,14 -> 14,Depot_Bundang_Townhall -> Depot_Bundang_Townhall,0,0,85102
